text,language
tunaenda tao,Sheng
hii ni poa,Sheng
tuko rada uko sawa msee,Sheng
ako na doo,Sheng
tuko rada uko sawa msee,Sheng
tuko rada uko sawa msee,Sheng
uko sawa msee,Sheng
hii ni poa,Sheng
niaje bro,Sheng
uko sawa msee,Sheng
tunaenda tao,Sheng
hii ni noma,Sheng
hii ni noma,Sheng
ako na doo,Sheng
tuko rada,Sheng
uko sawa msee uko sawa msee,Sheng
niko base leo,Sheng
niaje bro,Sheng
niko base leo,Sheng
niko base leo,Sheng
wacha tuende,Sheng
ako na doo,Sheng
tuko pamoja sana,Sheng
ako na doo tunaenda tao,Sheng
ako na doo wacha tuende,Sheng
niko base leo hii ni noma,Sheng
tuko pamoja sana,Sheng
wacha tuende,Sheng
niaje bro,Sheng
hii ni noma,Sheng
niko base leo,Sheng
niko base leo ako na doo,Sheng
hii ni noma,Sheng
tuko pamoja sana tuko pamoja sana,Sheng
uko sawa msee,Sheng
wacha tuende niaje bro,Sheng
gi dwaro winjo adhiambo nitie,Luo
an gi tich matek wabedo maber,Luo
idwaro chiemo,Luo
atimoni ahinya,Luo
nyasaye ogwedhi,Luo
adhiambo nitie an gi tich matek,Luo
gi dwaro winjo,Luo
wangni ber wangni ber,Luo
wabedo maber,Luo
nyasaye ogwedhi,Luo
an gi tich matek dhi gi kwe,Luo
wabedo maber abiro kendo,Luo
gi dwaro winjo wabedo maber,Luo
adhiambo nitie wabedo maber,Luo
wabedo maber an gi tich matek,Luo
gi dwaro winjo an gi tich matek,Luo
gi dwaro winjo nyasaye ogwedhi,Luo
wabedo maber,Luo
atimoni ahinya,Luo
gi dwaro winjo an gi tich matek,Luo
abiro kendo,Luo
abiro kendo,Luo
abiro kendo wabedo maber,Luo
nyasaye ogwedhi adhiambo nitie,Luo
gi dwaro winjo nyasaye ogwedhi,Luo
abiro kendo,Luo
dhi gi kwe,Luo
atimoni ahinya dhi gi kwe,Luo
adhiambo nitie,Luo
idwaro chiemo an gi tich matek,Luo
dhi gi kwe gi dwaro winjo,Luo
wabedo maber,Luo
an gi tich matek,Luo
wabedo maber abiro kendo,Luo
an gi tich matek,Luo
idwaro chiemo,Luo
adhiambo nitie idwaro chiemo,Luo
abiro kendo abiro kendo,Luo
gi dwaro winjo,Luo
an gi tich matek abiro kendo,Luo
wabedo maber,Luo
an gi tich matek,Luo
gi dwaro winjo,Luo
gi dwaro winjo,Luo
dhi gi kwe,Luo
wangni ber,Luo
adhiambo nitie,Luo
atimoni ahinya,Luo
an gi tich matek,Luo
atimoni ahinya abiro kendo,Luo
an gi tich matek,Luo
dhi gi kwe an gi tich matek,Luo
idwaro chiemo,Luo
gi dwaro winjo atimoni ahinya,Luo
gi dwaro winjo wangni ber,Luo
abiro kendo idwaro chiemo,Luo
nyasaye ogwedhi abiro kendo,Luo
abiro kendo,Luo
abiro kendo,Luo
atimoni ahinya an gi tich matek,Luo
wabedo maber gi dwaro winjo,Luo
adhiambo nitie,Luo
dhi gi kwe,Luo
adhiambo nitie abiro kendo,Luo
nyasaye ogwedhi dhi gi kwe,Luo
wangni ber atimoni ahinya,Luo
an gi tich matek,Luo
an gi tich matek,Luo
nyasaye ogwedhi an gi tich matek,Luo
atimoni ahinya,Luo
abiro kendo,Luo
gi dwaro winjo gi dwaro winjo,Luo
atimoni ahinya,Luo
gi dwaro winjo,Luo
wangni ber nyasaye ogwedhi,Luo
gi dwaro winjo,Luo
nyasaye ogwedhi gi dwaro winjo,Luo
dhi gi kwe,Luo
atimoni ahinya,Luo
nyasaye ogwedhi wabedo maber,Luo
idwaro chiemo,Luo
abiro kendo nyasaye ogwedhi,Luo
abiro kendo,Luo
dhi gi kwe nyasaye ogwedhi,Luo
adhiambo nitie,Luo
an gi tich matek an gi tich matek,Luo
abiro kendo,Luo
idwaro chiemo,Luo
abiro kendo,Luo
wabedo maber,Luo
wangni ber wabedo maber,Luo
gi dwaro winjo,Luo
adhiambo nitie,Luo
adhiambo nitie wabedo maber,Luo
wabedo maber,Luo
idwaro chiemo,Luo
atimoni ahinya,Luo
dhi gi kwe wangni ber,Luo
nyasaye ogwedhi,Luo
an gi tich matek idwaro chiemo,Luo
